"Congo, Rep."	COG	GDP growth (annual %)	6.779940953
Colombia	COL	GDP growth (annual %)	4.39360834
Comoros	COM	GDP growth (annual %)	2.061639469
Cabo Verde	CPV	GDP growth (annual %)	0.611212683
Costa Rica	CRI	GDP growth (annual %)	3.656803633
Caribbean small states	CSS	GDP growth (annual %)	0.459584512
Cuba	CUB	GDP growth (annual %)	1.047576632
Curacao	CUW	GDP growth (annual %)	
Cayman Islands	CYM	GDP growth (annual %)	
Cyprus	CYP	GDP growth (annual %)	-1.531451634
Czech Republic	CZE	GDP growth (annual %)	2.715116132
Germany	DEU	GDP growth (annual %)	1.595338098
Djibouti	DJI	GDP growth (annual %)	6.000194324
Dominica	DMA	GDP growth (annual %)	4.186963091
Denmark	DNK	GDP growth (annual %)	1.67593432
Dominican Republic	DOM	GDP growth (annual %)	7.608964836
Algeria	DZA	GDP growth (annual %)	3.789121212
East Asia & Pacific (excluding high income)	EAP	GDP growth (annual %)	6.761079914
Early-demographic dividend	EAR	GDP growth (annual %)	4.473000272
East Asia & Pacific	EAS	GDP growth (annual %)	4.112854061
Europe & Central Asia (excluding high income)	ECA	GDP growth (annual %)	2.175945411
Europe & Central Asia	ECS	GDP growth (annual %)	1.76113258
Ecuador	ECU	GDP growth (annual %)	3.992708509
"Egypt, Arab Rep."	EGY	GDP growth (annual %)	2.91591188
Euro area	EMU	GDP growth (annual %)	1.234545175
Eritrea	ERI	GDP growth (annual %)	
Spain	ESP	GDP growth (annual %)	1.378998287
Estonia	EST	GDP growth (annual %)	2.822906967
Ethiopia	ETH	GDP growth (annual %)	10.25749296
European Union	EUU	GDP growth (annual %)	1.669612622
Fragile and conflict affected situations	FCS	GDP growth (annual %)	3.439528558
Finland	FIN	GDP growth (annual %)	-0.631728091
Fiji	FJI	GDP growth (annual %)	5.446469358
France	FRA	GDP growth (annual %)	0.947586471
Faroe Islands	FRO	GDP growth (annual %)	
"Micronesia, Fed. Sts."	FSM	GDP growth (annual %)	-3.402905331
Gabon	GAB	GDP growth (annual %)	4.314877125
United Kingdom	GBR	GDP growth (annual %)	3.070483794
Georgia	GEO	GDP growth (annual %)	4.62333166
Ghana	GHA	GDP growth (annual %)	3.985865624
Gibraltar	GIB	GDP growth (annual %)	
Guinea	GIN	GDP growth (annual %)	0.399998601
"Gambia, The"	GMB	GDP growth (annual %)	0.877460638
Guinea-Bissau	GNB	GDP growth (annual %)	2.541075109
Equatorial Guinea	GNQ	GDP growth (annual %)	-0.694533428
Greece	GRC	GDP growth (annual %)	0.352849233
Grenada	GRD	GDP growth (annual %)	7.356770265
Greenland	GRL	GDP growth (annual %)	-0.815753763
Guatemala	GTM	GDP growth (annual %)	4.174400627
Guam	GUM	GDP growth (annual %)	1.260090569
Guyana	GUY	GDP growth (annual %)	3.840915282
High income	HIC	GDP growth (annual %)	1.940822112
"Hong Kong SAR, China"	HKG	GDP growth (annual %)	2.762408155
Honduras	HND	GDP growth (annual %)	3.058080562
Heavily indebted poor countries (HIPC)	HPC	GDP growth (annual %)	5.537813864
Croatia	HRV	GDP growth (annual %)	-0.491757527
Haiti	HTI	GDP growth (annual %)	2.810148498
Hungary	HUN	GDP growth (annual %)	4.04732118
IBRD only	IBD	GDP growth (annual %)	4.467145449
IDA & IBRD total	IBT	GDP growth (annual %)	4.549195478
IDA total	IDA	GDP growth (annual %)	5.725762253
IDA blend	IDB	GDP growth (annual %)	5.89597727
Indonesia	IDN	GDP growth (annual %)	5.006668426
IDA only	IDX	GDP growth (annual %)	5.550021298
Isle of Man	IMN	GDP growth (annual %)	5.03114162
India	IND	GDP growth (annual %)	7.505220233
Not classified	INX	GDP growth (annual %)	
Ireland	IRL	GDP growth (annual %)	8.462361941
"Iran, Islamic Rep."	IRN	GDP growth (annual %)	4.343343402
Iraq	IRQ	GDP growth (annual %)	0.7
Iceland	ISL	GDP growth (annual %)	1.925143976
Israel	ISR	GDP growth (annual %)	3.163047034
Italy	ITA	GDP growth (annual %)	0.113671537
Jamaica	JAM	GDP growth (annual %)	0.694621084
Jordan	JOR	GDP growth (annual %)	3.096330275
Japan	JPN	GDP growth (annual %)	0.335664786
Kazakhstan	KAZ	GDP growth (annual %)	4.2
Kenya	KEN	GDP growth (annual %)	5.351839858
Kyrgyz Republic	KGZ	GDP growth (annual %)	4.024038629
Cambodia	KHM	GDP growth (annual %)	7.071525352
Kiribati	KIR	GDP growth (annual %)	2.408687699
St. Kitts and Nevis	KNA	GDP growth (annual %)	5.963056556
"Korea, Rep."	KOR	GDP growth (annual %)	3.341447761
Kuwait	KWT	GDP growth (annual %)	0.500109942
Latin America & Caribbean (excluding high income)	LAC	GDP growth (annual %)	1.286412709
Lao PDR	LAO	GDP growth (annual %)	7.613516487
Lebanon	LBN	GDP growth (annual %)	1.8
Liberia	LBR	GDP growth (annual %)	0.701141636
Libya	LBY	GDP growth (annual %)	
St. Lucia	LCA	GDP growth (annual %)	0.371774911
Latin America & Caribbean	LCN	GDP growth (annual %)	1.32108097
Least developed countries: UN classification	LDC	GDP growth (annual %)	5.54283024
Low income	LIC	GDP growth (annual %)	6.064618321
Liechtenstein	LIE	GDP growth (annual %)	
Sri Lanka	LKA	GDP growth (annual %)	4.960719207
Lower middle income	LMC	GDP growth (annual %)	5.639725626
Low & middle income	LMY	GDP growth (annual %)	4.612502196
Lesotho	LSO	GDP growth (annual %)	2.277474893
Late-demographic dividend	LTE	GDP growth (annual %)	4.593564205
Lithuania	LTU	GDP growth (annual %)	3.495016165
Luxembourg	LUX	GDP growth (annual %)	5.626930814
Latvia	LVA	GDP growth (annual %)	2.119918779
"Macao SAR, China"	MAC	GDP growth (annual %)	-1.201149204
St. Martin (French part)	MAF	GDP growth (annual %)	
Morocco	MAR	GDP growth (annual %)	2.551109611
Monaco	MCO	GDP growth (annual %)	
Moldova	MDA	GDP growth (annual %)	4.799999749
Madagascar	MDG	GDP growth (annual %)	3.315854149
Maldives	MDV	GDP growth (annual %)	5.997326423
Middle East & North Africa	MEA	GDP growth (annual %)	3.16988223
Mexico	MEX	GDP growth (annual %)	2.265333945
Marshall Islands	MHL	GDP growth (annual %)	-0.94969113
Middle income	MIC	GDP growth (annual %)	4.580376283
"Macedonia, FYR"	MKD	GDP growth (annual %)	3.629641308
Mali	MLI	GDP growth (annual %)	7.043356204
Malta	MLT	GDP growth (annual %)	8.305633821
Myanmar	MMR	GDP growth (annual %)	7.991243344
Middle East & North Africa (excluding high income)	MNA	GDP growth (annual %)	3.059268628
Montenegro	MNE	GDP growth (annual %)	1.783708964
Mongolia	MNG	GDP growth (annual %)	7.885225829
Northern Mariana Islands	MNP	GDP growth (annual %)	2.875816993
Mozambique	MOZ	GDP growth (annual %)	7.443837429
Mauritania	MRT	GDP growth (annual %)	5.579543854
Mauritius	MUS	GDP growth (annual %)	3.744574431
Malawi	MWI	GDP growth (annual %)	5.700000004
Malaysia	MYS	GDP growth (annual %)	6.01216652
North America	NAC	GDP growth (annual %)	2.389734137
Namibia	NAM	GDP growth (annual %)	6.458809615
New Caledonia	NCL	GDP growth (annual %)	
Niger	NER	GDP growth (annual %)	7.049797948
Nigeria	NGA	GDP growth (annual %)	6.309718253
Nicaragua	NIC	GDP growth (annual %)	4.785460136
Netherlands	NLD	GDP growth (annual %)	1.419690296
Norway	NOR	GDP growth (annual %)	1.918819526
Nepal	NPL	GDP growth (annual %)	5.988984661
Nauru	NRU	GDP growth (annual %)	36.52409809
New Zealand	NZL	GDP growth (annual %)	3.404535318
OECD members	OED	GDP growth (annual %)	1.946380213
Oman	OMN	GDP growth (annual %)	2.541561464
Other small states	OSS	GDP growth (annual %)	3.222176652
Pakistan	PAK	GDP growth (annual %)	4.674707981
Panama	PAN	GDP growth (annual %)	6.053334058
Peru	PER	GDP growth (annual %)	2.354333038
Philippines	PHL	GDP growth (annual %)	6.145298786
Palau	PLW	GDP growth (annual %)	4.256526674
Papua New Guinea	PNG	GDP growth (annual %)	8.533901802
Poland	POL	GDP growth (annual %)	3.282570093
Pre-demographic dividend	PRE	GDP growth (annual %)	4.836536497
Puerto Rico	PRI	GDP growth (annual %)	
"Korea, Dem. People’s Rep."	PRK	GDP growth (annual %)	
Portugal	PRT	GDP growth (annual %)	0.893093762
Paraguay	PRY	GDP growth (annual %)	4.722333745
West Bank and Gaza	PSE	GDP growth (annual %)	-0.181891133
Pacific island small states	PSS	GDP growth (annual %)	3.787140389
Post-demographic dividend	PST	GDP growth (annual %)	1.790285742
French Polynesia	PYF	GDP growth (annual %)	
Qatar	QAT	GDP growth (annual %)	3.978882147
Romania	ROU	GDP growth (annual %)	3.07630231
Russian Federation	RUS	GDP growth (annual %)	0.731458212
Rwanda	RWA	GDP growth (annual %)	7.619610159
South Asia	SAS	GDP growth (annual %)	7.056051534
Saudi Arabia	SAU	GDP growth (annual %)	3.652481701
Sudan	SDN	GDP growth (annual %)	2.679411813
Senegal	SEN	GDP growth (annual %)	4.311051022
Singapore	SGP	GDP growth (annual %)	3.572267228
Solomon Islands	SLB	GDP growth (annual %)	1.507426291
Sierra Leone	SLE	GDP growth (annual %)	4.556772366
El Salvador	SLV	GDP growth (annual %)	1.42547573
San Marino	SMR	GDP growth (annual %)	
Somalia	SOM	GDP growth (annual %)	
Serbia	SRB	GDP growth (annual %)	-1.831301107
Sub-Saharan Africa (excluding high income)	SSA	GDP growth (annual %)	4.632476408
South Sudan	SSD	GDP growth (annual %)	3.373648477
Sub-Saharan Africa	SSF	GDP growth (annual %)	4.631466405
Small states	SST	GDP growth (annual %)	2.83188411
Sao Tome and Principe	STP	GDP growth (annual %)	6.207681734
Suriname	SUR	GDP growth (annual %)	0.363600629
Slovak Republic	SVK	GDP growth (annual %)	2.570852593
Slovenia	SVN	GDP growth (annual %)	3.106280193
Sweden	SWE	GDP growth (annual %)	2.604326565
Swaziland	SWZ	GDP growth (annual %)	4.246115263
Sint Maarten (Dutch part)	SXM	GDP growth (annual %)	
Seychelles	SYC	GDP growth (annual %)	3.316985028
Syrian Arab Republic	SYR	GDP growth (annual %)	
Turks and Caicos Islands	TCA	GDP growth (annual %)	
Chad	TCD	GDP growth (annual %)	6.899985045
East Asia & Pacific (IDA & IBRD countries)	TEA	GDP growth (annual %)	6.761320688
Europe & Central Asia (IDA & IBRD countries)	TEC	GDP growth (annual %)	2.31579253
Togo	TGO	GDP growth (annual %)	5.871726319
Thailand	THA	GDP growth (annual %)	0.914519144
Tajikistan	TJK	GDP growth (annual %)	6.69925066
Turkmenistan	TKM	GDP growth (annual %)	10.29999997
Latin America & the Caribbean (IDA & IBRD countries)	TLA	GDP growth (annual %)	1.330073764
Timor-Leste	TLS	GDP growth (annual %)	5.861136159
Middle East & North Africa (IDA & IBRD countries)	TMN	GDP growth (annual %)	3.086722672
Tonga	TON	GDP growth (annual %)	2.064684587
South Asia (IDA & IBRD)	TSA	GDP growth (annual %)	7.056051534
Sub-Saharan Africa (IDA & IBRD countries)	TSS	GDP growth (annual %)	4.631466405
Trinidad and Tobago	TTO	GDP growth (annual %)	-0.575925253
Tunisia	TUN	GDP growth (annual %)	2.823159581
Turkey	TUR	GDP growth (annual %)	5.166690703
Tuvalu	TUV	GDP growth (annual %)	2.235865935
Tanzania	TZA	GDP growth (annual %)	6.965133317
Uganda	UGA	GDP growth (annual %)	5.246819027
Ukraine	UKR	GDP growth (annual %)	-6.552618891
Upper middle income	UMC	GDP growth (annual %)	4.263820478
Uruguay	URY	GDP growth (annual %)	3.238791216
United States	USA	GDP growth (annual %)	2.370457671
Uzbekistan	UZB	GDP growth (annual %)	7.792522371
St. Vincent and the Grenadines	VCT	GDP growth (annual %)	1.152116207
"Venezuela, RB"	VEN	GDP growth (annual %)	
British Virgin Islands	VGB	GDP growth (annual %)	
Virgin Islands (U.S.)	VIR	GDP growth (annual %)	-0.962155228
Vietnam	VNM	GDP growth (annual %)	5.983654637
Vanuatu	VUT	GDP growth (annual %)	2.331006215
World	WLD	GDP growth (annual %)	2.830787042
Samoa	WSM	GDP growth (annual %)	1.196147337
Kosovo	XKX	GDP growth (annual %)	1.218533857
"Yemen, Rep."	YEM	GDP growth (annual %)	-0.188690232
South Africa	ZAF	GDP growth (annual %)	1.699597618
Zambia	ZMB	GDP growth (annual %)	4.695826373
Zimbabwe	ZWE	GDP growth (annual %)	2.765270701
